"time","humidity","LDR","MoistureLevel","temperature"
"939201","60","2418","3603","31.89999962"
"205580","65","2731","1425","32.09999847"
"1043707","60","2386","3635","31.79999924"
"1087460","61","2738","3499","31.79999924"
"1238500","59","2384","3605","31.60000038"
"12861775","61","3989","1424","31.70000076"
"1829988","67","2800","1411","31.79999924"
"542539","61","2288","3583","31.89999962"
"25271","71","2414","3373","31.20000076"
"3756961","61","2832","3495","31.89999962"
"4579197","61","2896","3461","31.89999962"
"13653928","61","4095","1414","31.70000076"
"2729806","60","2416","3609","31.89999962"
"18998445","62","2818","1407","31.5"
"168924","64","2103","3367","33.29999924"
"102999","64","2192","3010","33.20000076"
"2457914","60","2889","3654","31.89999962"
"11407822","61","3757","1410","31.79999924"
"2094729","60","2287","3575","31.89999962"
"13924660","61","4095","1405","31.70000076"
"105309","65","2807","1433","32.5"
"1427199","59","2269","3632","31.70000076"
"2901243","60","2346","3643","31.79999924"
"223696","65","2063","2188","33.20000076"
"17745039","61","2711","1407","31.5"
"2407189","60","2319","3633","31.89999962"
"169840","65","2256","2490","32.79999924"
"11808916","62","3807","1418","31.79999924"
"987189","60","2782","3471","31.79999924"
"353844","61","2304","3618","32"
"2213407","60","2340","3622","32"
"1643281","59","2371","3578","31.79999924"
"85071","null","2635","3489","null"
"1132985","60","2284","3605","31.70000076"
"973697","60","2323","3649","31.89999962"
"34743","64","2263","3164","33"
"205220","65","2417","3129","31.10000038"
"2052120","60","2369","3634","31.89999962"
"1560984","62","2858","3474","31.89999962"
"15589182","61","4095","1421","31.60000038"
"18537189","62","2737","1421","31.5"
"2237757","60","2367","3643","32"
"829634","61","2266","3618","31.89999962"
"2340236","60","2328","3616","31.89999962"
"1870095","67","2781","1424","31.79999924"
"16689","65","2490","2909","33.09999847"
"21304694","65","2757","1415","31.89999962"
"15230","61","2765","3498","31.79999924"
"105186","58","2863","3499","31.89999962"
"4168080","61","2885","3479","31.89999962"
"1335893","59","2387","3646","31.70000076"
"6674976","61","2961","3440","32.20000076"
